Title,Copies sold,As of,Release date,Genre(s),Developer(s),Publisher(s)
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",4000000.0,07/19/2023,11/19/2020,Board game,Konami,JP: Konami
1-2-Switch,3740000.0,12/31/2022,03/03/2017,Party,Nintendo EPD,Nintendo
Pikmin 4,3480000.0,03/31/2024,07/21/2023,Real-time strategy,Nintendo EPD,Nintendo
Paper Mario: The Origami King,3470000.0,12/31/2022,07/17/2020,Role-playingaction-adventure,Intelligent Systems,Nintendo
Yoshi's Crafted World,3350000.0,12/31/2022,03/29/2019,Platformer,Good-Feel,Nintendo
Super Mario RPG,3310000.0,03/31/2024,11/17/2023,Role-playing,ArtePiazza,Nintendo
Among Us,3200000.0,12/31/2020,12/15/2020,Partysocial deduction,Innersloth,Innersloth
Metroid Dread,3070000.0,12/31/2022,10/08/2021,Action-adventure,MercurySteamNintendo EPD,Nintendo
Mario + Rabbids Sparks of Hope,3000000.0,01/15/2024,10/20/2022,Tactical role-playing,Ubisoft ParisUbisoft Milan,NA/PAL: UbisoftJP: Nintendo
New Pokémon Snap,2740000.0,05/15/2022,04/30/2021,Photography,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo
Arms,2720000.0,12/31/2022,06/16/2017,Fighting,Nintendo EPD,Nintendo
Xenoblade Chronicles 2,2700000.0,12/31/2022,12/01/2017,Action role-playing,Monolith Soft,Nintendo
The Legend of Zelda: Echoes of Wisdom,2580000.0,09/30/2024,09/26/2024,Action-adventure,Nintendo EPDGrezzo,Nintendo
Mario Strikers: Battle League,2540000.0,03/31/2023,06/10/2022,Sports,Next Level Games,Nintendo
Mario Golf: Super Rush,2480000.0,12/31/2022,06/25/2021,Sports,Camelot Software Planning,Nintendo
Dragon Ball FighterZ,2430000.0,12/31/2022,09/27/2018,Fighting,Arc System Works,Bandai Namco Entertainment
Pikmin 3 Deluxe,2400000.0,12/31/2022,10/30/2020,Real-time strategy,Eighting,Nintendo
Captain Toad: Treasure Tracker,2350000.0,12/31/2022,07/13/2018,Action puzzle,Nintendo EPD,Nintendo
Taiko no Tatsujin: Drum 'n' Fun!,2240000.0,12/31/2022,07/19/2018,Rhythm,Bandai Namco Studios,Bandai Namco Entertainment
Octopath Traveler,2160000.0,01/02/2022,07/13/2018,Role-playing,Square EnixAcquire,JP: Square EnixNA/PAL: Nintendo
Human: Fall Flat,2000000.0,05/02/2024,12/07/2017,Puzzle-platform,No Brakes Games,JP: Teyon JapanNA/PAL: Curve Digital
Mario + Rabbids Kingdom Battle,2000000.0,09/02/2018,08/29/2017,Tactical role-playing,Ubisoft ParisUbisoft Milan,NA/PAL: UbisoftJP/KOR: Nintendo[31]
Pokémon Mystery Dungeon: Rescue Team DX,1990000.0,12/31/2022,03/06/2020,Roguelike,Spike Chunsoft,Nintendo
