Title,Copies sold,As of,Release date,Genre(s),Developer(s),Publisher(s),Metacritic Critic Score (MetaScore),Note
New Pokémon Snap,2740000.0,05/15/2022,04/30/2021,Photography,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,79.0,
Arms,2720000.0,12/31/2022,06/16/2017,Fighting,Nintendo EPD,Nintendo,77.0,
Xenoblade Chronicles 2,2700000.0,12/31/2022,12/01/2017,Action role-playing,Monolith Soft,Nintendo,83.0,
The Legend of Zelda: Echoes of Wisdom,2580000.0,09/30/2024,09/26/2024,Action-adventure,Nintendo EPDGrezzo,Nintendo,86.0,
Mario Strikers: Battle League,2540000.0,03/31/2023,06/10/2022,Sports,Next Level Games,Nintendo,73.0,
Mario Golf: Super Rush,2480000.0,12/31/2022,06/25/2021,Sports,Camelot Software Planning,Nintendo,70.0,
Dragon Ball FighterZ,2430000.0,12/31/2022,09/27/2018,Fighting,Arc System Works,Bandai Namco Entertainment,87.0,
Pikmin 3 Deluxe,2400000.0,12/31/2022,10/30/2020,Real-time strategy,Eighting,Nintendo,85.0,Enhanced port of Wii U version; Wii U version had score of 87
Captain Toad: Treasure Tracker,2350000.0,12/31/2022,07/13/2018,Action puzzle,Nintendo EPD,Nintendo,82.0,
Taiko no Tatsujin: Drum 'n' Fun!,2240000.0,12/31/2022,07/19/2018,Rhythm,Bandai Namco Studios,Bandai Namco Entertainment,78.0,First Taiko no Tatsujin title released in the West
Octopath Traveler,2160000.0,01/02/2022,07/13/2018,Role-playing,Square EnixAcquire,JP: Square EnixNA/PAL: Nintendo,83.0,
Human: Fall Flat,2000000.0,05/02/2024,12/07/2017,Puzzle-platform,No Brakes Games,JP: Teyon JapanNA/PAL: Curve Digital,65.0,
Mario + Rabbids Kingdom Battle,2000000.0,09/02/2018,08/29/2017,Tactical role-playing,Ubisoft ParisUbisoft Milan,NA/PAL: UbisoftJP/KOR: Nintendo[31],85.0,
Pokémon Mystery Dungeon: Rescue Team DX,1990000.0,12/31/2022,03/06/2020,Roguelike,Spike Chunsoft,Nintendo,69.0,Remake of the 2005 video games Pokémon Mystery Dungeon: Blue Rescue Team and Red Rescue Team
Big Brain Academy: Brain vs. Brain,1940000.0,12/31/2022,12/03/2021,Puzzle,"Nintendo EPD, indieszero",Nintendo,73.0,
Paper Mario: The Thousand-Year Door,1940000.0,09/30/2024,05/23/2024,Role-playing,Intelligent Systems,Nintendo,88.0,Remake of 2004 GameCube title
Xenoblade Chronicles: Definitive Edition,1880000.0,12/31/2022,05/29/2020,Action role-playing,Monolith Soft,Nintendo,89.0,Expanded remaster of 2010 Wii title; Wii version scored 92
Xenoblade Chronicles 3,1860000.0,03/31/2023,07/29/2022,Action role-playing,Monolith Soft,Nintendo,89.0,
Dragon Ball Xenoverse 2,1820000.0,12/31/2022,09/07/2017,Fighting,Dimps,Bandai Namco Entertainment,75.0,
Miitopia,1790000.0,12/31/2022,05/21/2021,Role-playing,Grezzo,Nintendo,71.0,Remaster of 2016 3DS title
Mario Kart Live: Home Circuit,1730000.0,12/31/2022,10/16/2020,Kart racingaugmented reality,Velan Studios,Nintendo,75.0,
Naruto Shippudden: Ultimate Ninja Storm Trilogy,1730000.0,12/31/2022,07/27/2017,Fighting,CyberConnect2,Bandai Namco Entertainment,70.0,"Compilation of enhanced versions of Naruto: Ultimate Ninja titles, consisting of Naruto: Ultimate Ninja Storm, Naruto Shippuden: Ultimate Ninja Storm 2, and Naruto Shippuden: Ultimate Ninja Storm 3: Full Burst; 'Shippuden' is misspelt as 'Shipudden'"
Fire Emblem Engage,1610000.0,03/31/2023,01/20/2023,Tactical role-playing,Intelligent Systems,Nintendo,80.0,
Marvel Ultimate Alliance 3: The Black Order,1600000.0,12/31/2022,07/19/2019,Action role-playing,Team Ninja,Nintendo,73.0,
Luigi's Mansion 2 HD,1570000.0,09/30/2024,06/27/2024,Action-Adventure,Tantalus Media,Nintendo,77.0,"Remaster of 2013 3DS title; originally subtitled ""Dark Moon"""
Pokkén Tournament DX,1540000.0,01/02/2022,09/22/2017,Fighting,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,79.0,Enhanced port of Wii U and Arcade (Japan only) versions
Resident Evil: Revelations Collection,1500000.0,06/30/2024,11/27/2017,Survival horror,Capcom,Capcom,82.0,HD enhanced version of 2012 3DS title
Kirby's Return to Dream Land Deluxe,1460000.0,03/31/2023,02/24/2023,Platformer,HAL Laboratory,Nintendo,79.0,Remake of 2011 Wii title
Nintendo Labo Toy-Con 01: Variety Kit,1420000.0,12/31/2020,04/20/2018,Construction kit,Nintendo EPD,Nintendo,77.0,
WarioWare: Get It Together!,1340000.0,12/31/2022,09/10/2021,Party,Intelligent Systems,Nintendo,76.0,
Astral Chain,1330000.0,12/31/2022,08/30/2019,Action-adventurehack and slash,PlatinumGames,Nintendo,87.0,
Princess Peach: Showtime!,1300000.0,06/30/2024,03/22/2024,Action-adventure,Good-Feel,Nintendo,74.0,
Dr Kawashima's Brain Training for Nintendo Switch,1270000.0,12/31/2022,12/27/2019,Puzzle,"Nintendo EPD, indieszero",Nintendo,64.0,
Bayonetta,1240000.0,12/31/2022,02/16/2018,Action-adventurehack and slash,PlatinumGames,Nintendo,84.0,Port of 2009 PS3 and Xbox 360 title
Bayonetta 2,1230000.0,12/31/2022,02/16/2018,Action-adventurehack and slash,PlatinumGames,Nintendo,92.0,Port of 2014 Wii U title
Dragon's Dogma: Dark Arisen,1200000.0,09/30/2024,04/23/2019,Role-playing,Capcom,Capcom,81.0,"Expanded version of 2012 PS3 and Xbox 360 title, Dragon's Dogma"
Dark Souls Remastered,1150000.0,12/31/2022,10/19/2018,Action role-playing game,FromSoftware,Bandai Namco Entertainment,83.0,Remastered version of 2011 PS3 and Xbox 360 title
Game Builder Garage,1150000.0,12/31/2022,06/11/2021,Programming,Nintendo EPD,Nintendo,77.0,
Mario vs. Donkey Kong,1120000.0,03/31/2024,02/16/2024,Puzzle-platform,Nintendo Software Technology,Nintendo,76.0,Remake of 2011 GBA title; GBA version scored an 81
Momotaro Dentetsu World: Chikyuu wa Kibou de Mawatteru!,1120000.0,08/18/2024,11/16/2023,Board game,Konami,JP: Konami,,No reviews available; Japanese region-exclusive title
Shin Megami Tensei V,1100000.0,12/31/2022,11/11/2021,Role-playing,Atlus,JP: AtlusNA: SegaPAL: Nintendo,84.0,
Metroid Prime Remastered,1090000.0,03/31/2023,02/08/2023,Action-adventure,Retro Studios,Nintendo,94.0,HD remaster of 2002 GameCube title; GameCube version scored 97
Bayonetta 3,1070000.0,03/31/2023,10/28/2022,Action-adventurehack and slash,PlatinumGames,Nintendo,86.0,
Mario & Sonic at the Olympic Games Tokyo 2020,1020000.0,03/03/2022,11/01/2019,Sports,Sega,Sega,69.0,Final installment in Mario & Sonic series
Dragon Quest Monsters: The Dark Prince,1000000.0,01/17/2024,12/01/2023,Role-playing,Tose,Square Enix,72.0,
Enter the Gungeon,1000000.0,03/03/2019,12/14/2017,Bullet hell,Dodge Roll,Devolver Digital,87.0,
Fire Emblem Warriors: Three Hopes,1000000.0,08/17/2022,06/24/2022,Hack and slashRole-playing,Omega Force,JP: Koei TecmoNA/PAL: Nintendo,80.0,
Fitness Boxing,1000000.0,09/08/2020,12/20/2018,Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo,66.0,
Fitness Boxing 2: Rhythm and Exercise,1000000.0,12/09/2021,12/04/2020,Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo,66.0,
Resident Evil 6,1000000.0,03/31/2024,10/29/2019,Survival horror,Capcom,Capcom,69.0,Port of 2011 PS3 and Xbox 360 title
Story of Seasons: Pioneers of Olive Town,1000000.0,11/18/2021,02/25/2021,Simulationrole-playing,Marvelous,Xseed Games,71.0,
Thief Simulator,1000000.0,07/16/2021,05/19/2019,Stealth,Noble Muffins,Forever Entertainment,,"No critic score (MetaScore) given, User Score is 7.0"
